name,week,year,pass_yards,pass_tds,rush_attempts,rush_yards,rush_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,interceptions,fantasy_points,game_played,rostered_percent
Salvon Ahmed (IND),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Ty Chandler (MIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.90%
Trey Sermon (PIT),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Raheem Blackshear (PIT),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40%
Chris Rodriguez Jr. (WAS),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,14.50%
Jaylen Wright (MIA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20%
Frank Gore Jr. (BUF),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Hunter Luepke (DAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.60%
Kimani Vidal (LAC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Jack Westover (NE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00%
Isaac Guerendo (SF),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,5.00%
Blake Watson (TEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
Carson Steele (KC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
Jonathon Brooks (CAR),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Jawhar Jordan (HOU),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Sione Vaki (DET),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
Tahj Brooks (CIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,1.60%
Dylan Laube (LV),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.60%
Dante Miller (NYG),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Lew Nichols III (PIT),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70%
Quinshon Judkins (CLE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,90.80%
Scott Matlock (LAC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,5.60%
Jaleel McLaughlin (DEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
